step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
421,0.03035,0.98214,,
422,0.10481,0.98,,
423,0.36431,0.95522,,
424,0.25065,0.9661,,
425,0.00069,1.0,,
426,0.03498,0.96226,,
427,0.04171,0.98361,,
428,0.0006,1.0,,
429,0.2221,0.94737,,
430,0.03584,0.98361,,
431,0.0128,1.0,,
432,0.01239,1.0,,
433,0.00402,1.0,,
434,0.01982,1.0,,
435,0.02821,0.98214,,
436,0.04633,0.98246,,
437,0.13387,0.95161,,
438,0.02895,0.98438,,
439,0.02585,1.0,,
440,0.19736,0.97015,,
441,0.08274,0.9661,,
442,0.32484,0.96,,
443,0.01842,1.0,,
444,0.05114,0.96491,,
445,0.23085,0.9434,,
446,0.00659,1.0,,
447,0.10049,0.96226,,
448,0.19201,0.96,,
449,0.17724,0.93443,,
450,0.06557,0.98571,,
451,0.00672,1.0,,
452,0.00338,1.0,,
453,0.0106,1.0,,
454,0.12012,0.96667,,
455,0.02946,1.0,,
456,0.00042,1.0,,
457,0.01492,1.0,,
458,0.044,0.98,,
459,0.01886,0.98387,,
460,0.00637,1.0,,
461,0.11677,0.95588,,
462,0.00703,1.0,,
463,0.00672,1.0,,
464,0.22576,0.94737,,
465,0.05731,0.98485,,
466,0.05727,0.96667,,
467,0.00104,1.0,,
468,0.06652,0.96721,,
469,0.09232,0.98413,,
470,0.01062,1.0,,
471,0.00549,1.0,,
472,0.02475,0.98214,,
473,0.00232,1.0,,
474,0.01168,1.0,,
475,0.00325,1.0,,
476,0.00141,1.0,,
477,0.00014,1.0,,
478,0.00092,1.0,,
479,0.04995,0.98438,,
480,0.01164,1.0,,
481,0.01596,1.0,,
482,0.00844,1.0,,
483,0.02854,1.0,,
484,0.14641,0.96078,,
485,0.00093,1.0,,
486,0.01426,1.0,,
487,0.00123,1.0,,
488,0.00081,1.0,,
489,0.00139,1.0,,
490,0.0431,0.97015,,
491,0.00127,1.0,,
492,0.03246,0.98246,,
493,0.05473,0.96226,,
494,0.00086,1.0,,
495,0.17292,0.95,,
496,0.00294,1.0,,
497,0.05658,0.97143,,
498,0.19903,0.96721,,
499,0.00617,1.0,,
500,0.07044,0.9697,,
501,0.04245,0.98246,,
502,0.0015,1.0,,
503,0.13754,0.96721,,
504,0.00074,1.0,,
505,0.00573,1.0,,
506,0.03008,0.98276,,
507,0.00481,1.0,,
508,0.10292,0.98276,,
509,0.15437,0.97059,,
510,0.04359,0.98305,,
511,0.00093,1.0,,
512,0.00025,1.0,,
513,0.00183,1.0,,
514,0.1589,0.98246,,
515,0.0004,1.0,,
516,0.00069,1.0,,
517,0.00147,1.0,,
518,0.01724,1.0,,
519,0.00034,1.0,,
520,0.00081,1.0,,
521,0.30689,0.90476,,
522,0.00203,1.0,,
523,0.06712,0.96875,,
524,0.01543,0.98305,,
525,0.02497,0.98214,,
526,0.01379,0.98485,,
527,9e-05,1.0,,
528,0.00066,1.0,,
529,0.02245,0.98571,,
530,0.00062,1.0,,
531,0.01128,1.0,,
532,0.02968,0.98113,,
533,0.00708,1.0,,
534,5e-05,1.0,,
535,0.00637,1.0,,
536,0.00124,1.0,,
537,0.021,0.98507,,
538,0.00052,1.0,,
539,0.00027,1.0,,
540,0.00014,1.0,,
541,0.00045,1.0,,
542,0.00206,1.0,,
543,3e-05,1.0,,
544,0.00608,1.0,,
545,0.00144,1.0,,
546,0.12296,0.96875,,
547,0.00058,1.0,,
548,0.01281,1.0,,
549,0.09993,0.94,,
550,0.36241,0.96667,,
551,2e-05,1.0,,
552,0.00082,1.0,,
553,0.04382,0.98438,,
554,0.00146,1.0,,
555,0.10208,0.96721,,
556,0.0074,1.0,,
557,0.00972,1.0,,
558,0.01727,1.0,,
559,0.01611,1.0,,
560,1e-05,1.0,,
561,0.05282,0.98039,,
562,0.03522,0.98333,,
563,0.0218,0.98485,,
564,0.00305,1.0,,
565,1e-05,1.0,,
566,0.00169,1.0,,
567,0.01699,1.0,,
568,0.00537,1.0,,
569,0.11608,0.96721,,
570,0.00074,1.0,,
571,0.00012,1.0,,
572,0.01388,1.0,,
573,0.00143,1.0,,
574,0.00036,1.0,,
575,0.00665,1.0,,
576,0.00014,1.0,,
577,0.04526,0.96721,,
578,0.16242,0.96,,
579,0.00152,1.0,,
580,1e-05,1.0,,
581,0.00472,1.0,,
582,0.00049,1.0,,
583,0.09241,0.98529,,
584,0.00099,1.0,,
585,0.05688,0.98039,,
586,0.00174,1.0,,
587,6e-05,1.0,,
588,0.00022,1.0,,
589,0.58069,0.91429,,
590,6e-05,1.0,,
591,0.10946,0.96667,,
592,0.00021,1.0,,
593,0.00013,1.0,,
594,0.11513,0.98,,
595,0.13009,0.95588,,
596,0.0028,1.0,,
597,0.02452,0.98571,,
598,0.05997,0.98,,
599,1e-05,1.0,,
600,0.03098,0.98571,,
601,0.02073,1.0,,
602,0.00013,1.0,,
603,0.00119,1.0,,
604,4e-05,1.0,,
605,0.11741,0.94118,,
606,0.01276,1.0,,
607,0.03593,0.98529,,
608,0.00064,1.0,,
609,0.00607,1.0,,
610,0.00209,1.0,,
611,0.00052,1.0,,
612,0.13178,0.98361,,
613,0.00105,1.0,,
614,0.01552,1.0,,
615,0.00244,1.0,,
616,0.00039,1.0,,
617,0.00756,1.0,,
618,0.00125,1.0,,
619,0.01689,1.0,,
620,0.01022,1.0,,
621,0.1108,0.96491,,
622,0.00496,1.0,,
623,0.00037,1.0,,
624,0.00543,1.0,,
625,0.00153,1.0,,
626,0.00877,1.0,,
627,0.01877,0.98571,,
628,4e-05,1.0,,
629,0.07985,0.96875,,
630,0.04613,0.98438,,
631,0.03306,0.98,,
632,7e-05,1.0,,
633,0.00109,1.0,,
634,0.47977,0.91429,,
635,1e-05,1.0,,
636,0.04975,0.98039,,
637,0.00028,1.0,,
638,0.09191,0.9697,,
639,0.00041,1.0,,
640,0.00042,1.0,,
641,0.03102,1.0,,
642,0.20613,0.95455,,
643,0.00331,1.0,,
644,1e-05,1.0,,
645,0.00045,1.0,,
646,0.00518,1.0,,
647,0.06382,0.98246,,
648,0.02584,0.98039,,
649,0.00025,1.0,,
650,0.10424,0.9661,,
651,0.00091,1.0,,
652,0.00028,1.0,,
653,0.00465,1.0,,
654,0.08729,0.96875,,
655,0.03918,0.98246,,
656,0.00047,1.0,,
657,9e-05,1.0,,
658,0.06129,0.97727,,
659,0.00653,1.0,,
660,0.00126,1.0,,
661,0.03611,0.98361,,
662,0.00338,1.0,,
663,0.00297,1.0,,
664,0.00077,1.0,,
665,0.25828,0.94231,,
666,0.02997,0.97015,,
667,0.00264,1.0,,
668,0.01513,1.0,,
669,4e-05,1.0,,
670,0.00531,1.0,,
671,0.00195,1.0,,
672,0.03407,0.98246,,
673,0.00143,1.0,,
674,0.00079,1.0,,
675,0.00472,1.0,,
676,0.01061,1.0,,
677,0.00225,1.0,,
678,0.00275,1.0,,
679,0.07819,0.96667,,
680,0.00043,1.0,,
681,0.00268,1.0,,
682,0.0002,1.0,,
683,0.03325,0.98438,,
684,4e-05,1.0,,
685,0.00324,1.0,,
686,0.09493,0.98507,,
687,0.00233,1.0,,
