step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
321,0.3084,0.96552,,
322,0.00272,1.0,,
323,0.25269,0.90741,,
324,0.10598,0.9661,,
325,0.00526,1.0,,
326,0.10557,0.95238,,
327,0.00135,1.0,,
328,0.20299,0.9375,,
329,0.07657,0.96203,,
330,0.34636,0.88235,,
331,0.11744,0.97143,,
332,0.30356,0.92593,,
333,0.35077,0.90566,,
334,0.00071,1.0,,
335,0.32109,0.95455,,
336,0.19664,0.93651,,
337,0.19708,0.96552,,
338,0.20881,0.96552,,
339,0.24321,0.92188,,
340,0.15388,0.96875,,
341,0.2372,0.89552,,
342,0.13907,0.96825,,
343,0.12071,0.94444,,
344,0.11793,0.94444,,
345,0.30113,0.92593,,
346,2.83924,0.5,,
347,0.3806,0.89583,,
348,0.02673,1.0,,
349,0.73223,0.5,,
350,0.08467,0.98148,,
351,0.44509,1.0,,
352,0.19425,0.92308,,
353,0.29074,0.92857,,
354,0.10302,0.9661,,
355,0.15194,0.95161,,
356,0.25294,0.93939,,
357,0.04748,0.98413,,
358,0.16648,1.0,,
359,2.3668,0.5,,
360,0.24223,0.91667,,
361,0.12383,0.94444,,
362,0.06383,0.98734,,
363,0.01493,1.0,,
364,0.0785,0.96825,,
365,0.09948,1.0,,
366,0.0322,0.98413,,
367,0.02131,1.0,,
368,0.01517,1.0,,
369,0.01079,1.0,,
370,0.08361,1.0,,
371,0.27519,0.87931,,
372,0.01278,1.0,,
373,0.32315,0.92308,,
374,0.31055,0.94444,,
375,0.23022,0.96296,,
376,0.23378,0.91489,,
377,0.00018,1.0,,
378,0.18073,0.95238,,
379,0.409,0.92308,,
380,0.00015,1.0,,
381,0.26567,0.9434,,
382,0.36957,0.9375,,
383,0.34162,0.92593,,
384,0.2399,0.98148,,
385,0.2512,0.92453,,
386,0.17518,0.94286,,
387,0.17234,0.94643,,
388,0.19811,0.96429,,
389,0.10994,0.96825,,
390,0.20958,0.94444,,
391,0.14042,0.90741,,
392,0.0334,0.98413,,
393,0.00415,1.0,,
394,0.13477,0.97015,,
395,0.14169,1.0,,
396,0.27992,0.94118,,
397,0.05464,0.95238,,
398,0.29347,0.93103,,
399,0.04493,0.98214,,
400,0.0924,0.96774,,
401,0.5639,0.5,,
402,0.22538,0.95161,,
403,0.08322,0.96552,,
404,0.17933,0.97101,,
405,0.15874,0.94444,,
406,0.05707,0.98148,,
407,0.03386,1.0,,
408,0.08152,0.9661,,
409,0.14329,0.9375,,
410,0.14732,0.92453,,
411,0.03084,1.0,,
412,0.07235,1.0,,
413,0.09797,1.0,,
414,0.18373,0.95385,,
415,0.1734,0.92157,,
416,0.22543,1.0,,
417,0.15028,0.96154,,
418,0.05984,0.98305,,
419,0.12234,0.98438,,
420,0.01012,1.0,,
421,0.03801,0.98413,,
422,0.17204,1.0,,
423,0.11731,0.94444,,
424,0.12609,0.96154,,
425,0.00173,1.0,,
426,0.14572,0.96825,,
427,0.02077,1.0,,
428,0.02295,1.0,,
429,0.00796,1.0,,
430,0.00533,1.0,,
431,0.00175,1.0,,
432,0.17722,0.94444,,
433,0.00755,1.0,,
434,0.18896,0.98148,,
435,0.18715,0.97059,,
436,0.17407,0.94286,,
437,0.06707,0.96429,,
438,0.07262,0.96825,,
439,0.00016,1.0,,
440,0.00213,1.0,,
441,0.32422,0.90566,,
442,0.23392,0.94828,,
443,0.04407,0.98214,,
444,0.29039,0.92857,,
445,0.16827,0.94444,,
446,0.0001,1.0,,
447,0.03532,0.98413,,
448,0.00174,1.0,,
449,0.12805,0.95652,,
450,0.00015,1.0,,
451,0.20039,0.96552,,
452,0.08478,0.98039,,
453,0.0066,1.0,,
454,0.2831,0.94118,,
455,0.2761,0.96552,,
456,0.01801,1.0,,
457,0.0899,0.97143,,
458,0.00128,1.0,,
459,0.22928,0.94828,,
460,0.00291,1.0,,
461,0.0028,1.0,,
462,0.01691,0.98361,,
463,0.22373,0.92593,,
464,0.09963,0.97059,,
465,0.06563,0.96825,,
466,0.14738,0.98148,,
467,0.38416,0.5,,
468,0.08902,0.96923,,
469,0.15299,0.9434,,
470,0.11394,0.96296,,
471,0.1855,0.94231,,
472,0.04744,0.98387,,
473,0.02573,1.0,,
474,0.07055,0.97674,,
475,0.21373,0.9375,,
476,0.00441,1.0,,
477,0.04815,0.98305,,
478,0.21575,0.9375,,
479,0.21418,0.95745,,
480,0.32856,0.9403,,
481,0.09627,0.98276,,
482,0.00142,1.0,,
483,0.24201,0.93617,,
484,0.01781,1.0,,
485,0.03214,0.98413,,
486,0.12808,0.96875,,
487,0.2631,0.94203,,
488,0.02831,1.0,,
489,0.13351,0.95714,,
490,0.20428,0.92424,,
491,0.08064,0.97143,,
492,0.07973,0.96296,,
493,0.15823,0.9434,,
494,0.22999,0.96552,,
495,0.01057,1.0,,
496,0.23889,0.92593,,
497,0.05293,0.98148,,
498,0.17586,0.96774,,
499,0.02893,0.98387,,
500,0.12052,0.94444,,
501,3.58607,0.5,,
502,0.04293,0.96825,,
503,0.10188,0.96226,,
504,0.18085,0.94118,,
505,0.14248,0.96226,,
506,0.16338,0.96154,,
507,0.51493,0.5,,
508,0.02563,0.98413,,
509,0.04061,0.98413,,
510,0.08213,0.96296,,
511,0.00718,1.0,,
512,0.24443,1.0,,
513,0.00195,1.0,,
514,0.30189,0.92593,,
515,0.00571,1.0,,
516,0.16572,0.96552,,
517,0.0619,1.0,,
518,0.04287,0.96825,,
519,0.15395,0.96721,,
520,0.00948,1.0,,
521,0.15968,0.96429,,
522,0.0021,1.0,,
523,0.0455,1.0,,
524,0.22939,0.96154,,
525,0.02296,1.0,,
526,0.04724,0.98305,,
527,0.00203,1.0,,
528,0.08104,0.98214,,
529,0.00128,1.0,,
530,0.19687,0.93103,,
531,0.00227,1.0,,
532,0.08734,0.96825,,
533,0.11566,0.96429,,
534,0.01369,1.0,,
535,0.00254,1.0,,
536,0.04415,0.98413,,
537,0.09724,0.96875,,
538,0.1212,0.95385,,
539,0.10126,0.97872,,
540,0.00193,1.0,,
541,0.25991,0.96552,,
542,0.07592,0.98148,,
543,0.0645,0.98148,,
544,0.18907,0.96552,,
545,0.08906,0.96154,,
546,0.00199,1.0,,
547,0.02761,1.0,,
548,0.00368,1.0,,
549,0.03816,0.98039,,
550,0.01669,1.0,,
551,0.03421,1.0,,
552,0.00011,1.0,,
553,0.06756,0.98148,,
554,0.18511,0.94828,,
555,0.24417,0.95455,,
556,0.00292,1.0,,
557,0.03756,0.98148,,
558,0.15348,0.94444,,
559,0.19751,0.95652,,
560,0.04486,0.97015,,
561,0.02966,0.98413,,
562,0.00023,1.0,,
563,0.00336,1.0,,
564,0.05569,0.97015,,
565,0.04183,0.98148,,
566,8e-05,1.0,,
567,0.06893,0.96296,,
568,0.04248,0.98148,,
569,0.2641,0.94828,,
570,0.1679,1.0,,
571,0.00089,1.0,,
572,0.10746,0.94444,,
573,0.05094,0.98148,,
574,0.14275,0.98077,,
575,0.05208,0.98148,,
576,0.05786,0.98214,,
577,0.0667,0.97015,,
578,0.02729,1.0,,
