step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
433,0.00013,1.0,,
434,0.0605,0.98507,,
435,0.01633,0.98246,,
436,0.01254,1.0,,
437,0.0043,1.0,,
438,0.00012,1.0,,
439,0.00437,1.0,,
440,0.35468,0.94118,,
441,0.02059,0.98413,,
442,0.07303,0.98387,,
443,0.08315,0.97959,,
444,0.00077,1.0,,
445,9e-05,1.0,,
446,0.0582,0.98507,,
447,0.00071,1.0,,
448,0.07985,0.98387,,
449,0.01738,0.98246,,
450,0.00675,1.0,,
451,0.09125,0.97959,,
452,0.00972,1.0,,
453,0.02954,0.98413,,
454,0.07252,0.97959,,
455,0.00254,1.0,,
456,0.01392,1.0,,
457,0.00291,1.0,,
458,0.08153,0.97959,,
459,0.00024,1.0,,
460,0.00098,1.0,,
461,0.00076,1.0,,
462,0.00935,1.0,,
